Region 82 Avg IOU: 0.393854, Class: 0.476732, Obj: 0.512156, No Obj: 0.616494, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.095784, Class: 0.119555, Obj: 0.450226, No Obj: 0.617603, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.082916, Class: 0.030999, Obj: 0.702565, No Obj: 0.618328, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.082032, Class: 0.566132, Obj: 0.305916, No Obj: 0.615117, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.193794, Class: 0.780686, Obj: 0.364497, No Obj: 0.614788, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.172206, Class: 0.554302, Obj: 0.699241, No Obj: 0.616168, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.645504, Class: 0.533023, Obj: 0.454005, No Obj: 0.617204, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.207256, Class: 0.875370, Obj: 0.557316, No Obj: 0.616099, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.839910, Class: 0.402325, Obj: 0.319196, No Obj: 0.617367, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.228188, Class: 0.278978, Obj: 0.949309, No Obj: 0.615777, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.061822, Class: 0.608349, Obj: 0.364346, No Obj: 0.615224, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.242831, Class: 0.800095, Obj: 0.419106, No Obj: 0.615879, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.306137, Class: 0.333412, Obj: 0.480982, No Obj: 0.617911, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.106600, Class: 0.594617, Obj: 0.361035, No Obj: 0.615184, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.476714, Class: 0.450792, Obj: 0.540317, No Obj: 0.616269, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.028860, Class: 0.510539, Obj: 0.553790, No Obj: 0.609444, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.336762, Class: 0.916093, Obj: 0.125150, No Obj: 0.618663, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.150704, Class: 0.405955, Obj: 0.799103, No Obj: 0.616477, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.108277, Class: 0.557722, Obj: 0.309730, No Obj: 0.620555, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.193165, Class: 0.287382, Obj: 0.567246, No Obj: 0.618771, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.037541, Class: 0.511344, Obj: 0.214608, No Obj: 0.615430, .5R: 0.000000, .75R: 0.000000,  count: 1
